"PMID","Title","Journal","Year"
"26220684","Common polygenic variation contributes to risk of migraine in the Norfolk Island population.","Human genetics","2015"
"12736537","Glutathione S-transferase polymorphisms: susceptibility to migraine without aura.","European neurology","2003"
"25138102","A missense variant of the ATP1A2 gene is associated with a novel phenotype of progressive sensorineural hearing loss associated with migraine.","European journal of human genetics : EJHG","2015"
"11735220","Single-nucleotide polymorphism alleles in the insulin receptor gene are associated with typical migraine.","Genomics","2001"
"35514537","Insights from genomic studies on the role of sex steroids in the aetiology of endometriosis.","Reproduction & fertility","2022"
"22845787","Familial PRRT2 mutation with heterogeneous paroxysmal disorders including paroxysmal torticollis and hemiplegic migraine.","Developmental medicine and child neurology","2012"
"11843867","No involvement of the calcium channel gene (CACNA1A) in a family with cluster headache.","Cephalalgia : an international journal of headache","2001"
"23387428","Novel OPA1 missense mutation in a family with optic atrophy and severe widespread neurological disorder.","Acta ophthalmologica","2013"
"24512576","Genetic analysis of GRIA2 and GRIA4 genes in migraine.","Headache","2014"
"9633716","SPECT study of a German CADASIL family: a phenotype with migraine and progressive dementia only.","Neurology","1998"
"11737010","Role of factor XIII Val 34 Leu polymorphism in patients with migraine.","Cephalalgia : an international journal of headache","2001"
"20871611","A dominant-negative mutation in the TRESK potassium channel is linked to familial migraine with aura.","Nature medicine","2010"
"21376262","A280V polymorphism in the histamine H3 receptor as a risk factor for migraine.","Archives of medical research","2011"
"17212932","[Role of P/Q calcium channel in familial hemiplegic migraine].","Medecine sciences : M/S","2007"
"21822697","Negative predictors of clinical response to triptans in patients with migraine.","Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","2012"
"19673951","Parental SCN1A mutation mosaicism in familial Dravet syndrome.","Clinical genetics","2009"
"24698360","Multilocus analysis of hormonal, neurotransmitter, inflammatory pathways and genome-wide associated variants in migraine susceptibility.","European journal of neurology","2014"
"26350469","Lack of Association between Genetic Risk Loci for Restless Legs Syndrome and Multimorbidity.","Sleep","2016"
"16473310","No mutations detected in the INSR gene in a chromosome 19p13 linked migraine pedigree.","European journal of medical genetics","2006"
"17376154","Forward genetic screen of mouse reveals dominant missense mutation in the P/Q-type voltage-dependent calcium channel, CACNA1A.","Genes, brain, and behavior","2007"
"19936617","Lack of association between five serotonin metabolism-related genes and medication overuse headache.","The journal of headache and pain","2010"
"27726107","Nicotinamide-N-Methyltransferase gene rs694539 variant and migraine risk.","The journal of headache and pain","2016"
"14526175","Spinocerebellar ataxia type 6 and episodic ataxia type 2: differences and similarities between two allelic disorders.","Cytogenetic and genome research","2003"
"25260852","Hypomorphic NOTCH3 mutation in an Italian family with CADASIL features.","Neurobiology of aging","2015"
"22969264","Familial hemiplegic migraine with prolonged coma and cerebellar atrophy: CACNA1A T666M mutation in a Korean family.","Journal of Korean medical science","2012"
"20038773","Comparison of clinical, familial, and MRI features of CADASIL and NOTCH3-negative patients.","Neurology","2010"
"21824570","Hemiconvulsion-hemiplegia-epilepsy syndrome associated with CACNA1A S218L mutation.","Pediatric neurology","2011"
"17901921","Genetic association study and meta-analysis of the HTR2C Cys23Ser polymorphism and migraine.","The journal of headache and pain","2007"
"18289799","Migraine: sex-influenced trait model?","Medical hypotheses","2008"
"11803518","Investigation of the CACNA1A gene as a candidate for typical migraine susceptibility.","American journal of medical genetics","2001"
"10802804","Migraine with aura and white matter abnormalities: Notch3 mutation.","Neurology","2000"
"28185542","Analysis of amplicon-based NGS data from neurological disease gene panels: a new method for allele drop-out management.","BMC bioinformatics","2016"
"8220421","A gene for familial hemiplegic migraine maps to chromosome 19.","Nature genetics","1993"
"8522335","Inheritance of migraine investigated by complex segregation analysis.","Human genetics","1995"
"16305605","The 3p21.1-p21.3 hereditary vascular retinopathy locus increases the risk for Raynaud's phenomenon and migraine.","Cephalalgia : an international journal of headache","2005"
"30080864","Drosophila CaV2 channels harboring human migraine mutations cause synapse hyperexcitability that can be suppressed by inhibition of a Ca2+ store release pathway.","PLoS genetics","2018"
"24969325","First report of a de novo mutation at SLC20A2 in a patient with brain calcification.","Journal of molecular neuroscience : MN","2014"
"16618267","Endothelin receptor A -231 G>A polymorphism: no linkage to primary pediatric headache.","Headache","2006"
"11085595","Evidence for allelic association of the dopamine beta-hydroxylase gene (DBH) with susceptibility to typical migraine.","Neurogenetics","2000"
"9342978","Menière's syndrome and migraine: incidence in one family.","The Annals of otology, rhinology, and laryngology","1997"
"9371916","Hereditary endotheliopathy with retinopathy, nephropathy, and stroke (HERNS).","Neurology","1997"
"22294494","Confirmation that Xq27 and Xq28 are susceptibility loci for migraine in independent pedigrees and a case-control cohort.","Neurogenetics","2012"
"24444405","Association between migraine and ACE gene (insertion/deletion) polymorphism: the BioBIM study.","Pharmacogenomics","2014"
"11424980","No evidence for involvement of the human inducible nitric oxide synthase (iNOS) gene in susceptibility to typical migraine.","American journal of medical genetics","2001"
"34199759","KCNK18 Biallelic Variants Associated with Intellectual Disability and Neurodevelopmental Disorders Alter TRESK Channel Activity.","International journal of molecular sciences","2021"
"16037212","Alterations in the alpha2 isoform of Na,K-ATPase associated with familial hemiplegic migraine type 2.","Proceedings of the National Academy of Sciences of the United States of America","2005"
"23333373","Rs6295 promoter variants of the serotonin type 1A receptor are differentially activated by c-Jun in vitro and correlate to transcript levels in human epileptic brain tissue.","Brain research","2013"
"18976638","Valproic acid regulates catecholaminergic pathways by concentration-dependent threshold effects on TH mRNA synthesis and degradation.","Brain research","2009"
"11913683","Occurrence of familial Meniere's syndrome and migraine in Brasília.","The Annals of otology, rhinology, and laryngology","2002"
"12587074","Multiple sclerosis-associated virus-related pol sequences found both in multiple sclerosis and healthy donors are more frequently expressed in multiple sclerosis patients.","Journal of neurovirology","2003"
"36800925","Genetics of migraine: where are we now?","The journal of headache and pain","2023"
"36914876","The genetic basis of endometriosis and comorbidity with other pain and inflammatory conditions.","Nature genetics","2023"
"34304862","Genetics of migraine.","Revue neurologique","2021"
"29229375","The pathophysiology of migraine: implications for clinical management.","The Lancet. Neurology","2018"
"29478595","Genetics of migraine.","Handbook of clinical neurology","2018"
"41001447","Complex Genetics and Regulatory Drivers of Hypermobile Ehlers-Danlos Syndrome: Insights from Genome-Wide Association Study Meta-analysis.","medRxiv : the preprint server for health sciences","2025"
"39716036","Association between migraine and mitochondria: A Mendelian randomization study.","Molecular pain","2024"
"38043972","Pathophysiology of migraine aura.","Handbook of clinical neurology","2023"
"30883436","Advance in genetics of migraine.","Current opinion in neurology","2019"
"38840241","A cross-tissue transcriptome-wide association study reveals novel susceptibility genes for migraine.","The journal of headache and pain","2024"
"33428804","Chronic migraine: Genetics or environment?","European journal of neurology","2021"
"32770368","Management of Menstrual Migraine.","Current neurology and neuroscience reports","2020"
"39294737","Multiomic-based immune response profiling in migraine, vestibular migraine and Meniere's disease.","Immunology","2024"
"35454329","Deciphering the Role of the rs2651899, rs10166942, and rs11172113 Polymorphisms in Migraine: A Meta-Analysis.","Medicina (Kaunas, Lithuania)","2022"
"39261750","Proteome-wide Mendelian randomization identified potential drug targets for migraine.","The journal of headache and pain","2024"
"30027842","Migraine: Genetic Variants and Clinical Phenotypes.","Current medicinal chemistry","2019"
"39135164","Causality between migraine and cardiovascular disease: a bidirectional Mendelian randomization study.","The journal of headache and pain","2024"
"36807966","Migraine and thyroid dysfunction: Co-occurrence, shared genes and biological mechanisms.","European journal of neurology","2023"
"40326299","Diagnosing migraine from genome-wide genotype data: a machine learning analysis.","Brain : a journal of neurology","2026"
"40826382","Unveiling migraine subtype heterogeneity and risk loci: integrated genome-wide association study and single-cell transcriptomics discovery.","The journal of headache and pain","2025"
"36990725","Circadian Features of Cluster Headache and Migraine: A Systematic Review, Meta-analysis, and Genetic Analysis.","Neurology","2023"
"40935254","Peripheral innate immune signature links migraine and depression: Identification of PTX3 and HP as shared diagnostic biomarkers.","Journal of affective disorders","2026"
"38867170","Identifying therapeutic target genes for migraine by systematic druggable genome-wide Mendelian randomization.","The journal of headache and pain","2024"
"34654805","Genetic investigation of fibromuscular dysplasia identifies risk loci and shared genetics with common cardiovascular diseases.","Nature communications","2021"
"40275290","Evidence supporting the role of hypertension in the onset of migraine.","Journal of translational medicine","2025"
"38288634","Regulation of headache response and transcriptomic network by the trigeminal ganglion clock.","Headache","2024"
"38755568","MicroRNA profiling in women with migraine: effects of CGRP-targeting treatment.","The journal of headache and pain","2024"
"34635557","Phenotypic and Genotypic Associations Between Migraine and Lipoprotein Subfractions.","Neurology","2021"
"38650934","Genetic causal relationship between immune diseases and migraine: a Mendelian randomization study.","Frontiers in immunology","2024"
"37486023","Cluster Headache Genomewide Association Study and Meta-Analysis Identifies Eight Loci and Implicates Smoking as Causal Risk Factor.","Annals of neurology","2023"
"40120433","Integrative analysis of single-cell transcriptomics and genetic associations identify cell states associated with vascular disease.","Atherosclerosis","2025"
"37288313","Genome-phenome wide association study of broadly defined headache.","Brain communications","2023"
"23618705","[Genetics of migraine].","Revue neurologique","2013"
"36739509","Shared genetics and causal relationships between migraine and thyroid function traits.","Cephalalgia : an international journal of headache","2023"
"40350427","The interictal transcriptomic map of migraine without aura.","The journal of headache and pain","2025"
"41015838","Epilepsy and migraine: A bidirectional mendelian randomization study.","Epilepsy & behavior : E&B","2025"
"37306871","Migraine, chronic kidney disease and kidney function: observational and genetic analyses.","Human genetics","2023"
"38840235","Genetic evidence for the causal relationships between migraine, dementia, and longitudinal brain atrophy.","The journal of headache and pain","2024"
"36068612","The associations between plasma soluble Trem1 and neurological diseases: a Mendelian randomization study.","Journal of neuroinflammation","2022"
"35654020","Seq-ing the mechanisms of migraine.","Neuron","2022"
"39658945","Investigating the causal and genetic relationship between migraine and Parkinson's disease.","Headache","2025"
"37231681","Genetic liability to migraine and functional outcome after ischemic stroke.","European stroke journal","2023"
"37884687","Rare variants with large effects provide functional insights into the pathology of migraine subtypes, with and without aura.","Nature genetics","2023"
"33795393","Association Between Hemostatic Profile and Migraine: A Mendelian Randomization Analysis.","Neurology","2021"
"37851671","The genetics and chronobiology of cluster headache.","Cephalalgia : an international journal of headache","2023"
"16915377","[Genetics of migraine].","Der Nervenarzt","2006"
"39497418","Chronic overlapping pain conditions and nociplastic pain.","HGG advances","2025"
"32121467","Shared Molecular Genetic Mechanisms Underlie Endometriosis and Migraine Comorbidity.","Genes","2020"
"41315928","Epigenome-wide DNA methylation profiling reveals risk genes for migraine and its subtypes.","The journal of headache and pain","2025"
"37628876","Genetic Mechanisms of Migraine: Insights from Monogenic Migraine Mutations.","International journal of molecular sciences","2023"
"40468199","The lactylation-immune regulatory axis: a potential therapeutic target for migraine prevention and treatment.","The journal of headache and pain","2025"
"41372126","Transformer-based deep learning enhances discovery in migraine GWAS.","Nature communications","2025"
"40022282","Association Between Hypoxia-Inducible Factor-1α and Neurological Diseases: A Bidirectional Two-Sample Mendelian Randomization Analysis.","Brain and behavior","2025"
"39881850","Causal Association Between Obstructive Sleep Apnea and Migraine: A Bidirectional Mendelian Randomization Study.","Nature and science of sleep","2025"
"34325915","What is the link between migraine and psychiatric disorders? From epidemiology to therapeutics.","Revue neurologique","2021"
"37606917","Genetic Correlations between Migraine and Carpal Tunnel Syndrome.","Plastic and reconstructive surgery","2024"
"35101780","The complexities of migraine: A debate among migraine researchers: A review.","Clinical neurology and neurosurgery","2022"
"39279254","The 1400 metabolite-mediated relationship between 91 inflammatory cytokines and migraine: An exploratory two-step Mendelian randomization study.","European journal of clinical investigation","2024"
"29623444","Polygenic risk score: use in migraine research.","The journal of headache and pain","2018"
"39468451","Causal relationships between cortical brain structural alterations and migraine subtypes: a bidirectional Mendelian randomization study of 2,347 neuroimaging phenotypes.","The journal of headache and pain","2024"
"34644541","Genetic overlap and causality between blood metabolites and migraine.","American journal of human genetics","2021"
"39048956","The role of hypertension in the relationship between leisure screen time, physical activity and migraine: a 2-sample Mendelian randomization study.","The journal of headache and pain","2024"
"28058943","Genome-wide analysis of blood gene expression in migraine implicates immune-inflammatory pathways.","Cephalalgia : an international journal of headache","2018"
"41193966","Cortical network dysfunction in migraine: linking genes, metabolism and clinical disability.","The journal of headache and pain","2025"
"40723814","Single-Nucleus Transcriptomics Reveals Glial Metabolic-Immune Rewiring and Intercellular Signaling Disruption in Chronic Migraine.","Biomolecules","2025"
"39333847","Improved polygenic risk prediction in migraine-first patients.","The journal of headache and pain","2024"
"40366766","Insights into modifiable risk factors of migraine: a Mendelian randomization analysis.","Neurological research","2025"
"35029599","Alcohol, coffee consumption, and smoking in relation to migraine: a bidirectional Mendelian randomization study.","Pain","2022"
"38281051","No causal association between allergic rhinitis and migraine: a Mendelian randomization study.","European journal of medical research","2024"
"35735024","Elucidating the relationship between migraine risk and brain structure using genetic data.","Brain : a journal of neurology","2022"
"33125193","Habitual sleep disturbances and migraine: a Mendelian randomization study.","Annals of clinical and translational neurology","2020"
"41797490","Migraines and the association of cognitive impairment: a one- and two-sample mendelian randomization analysis.","Dialogues in clinical neuroscience","2026"
"26967494","Genome-wide association studies in migraine: current state and route to follow.","Current opinion in neurology","2016"
"35145549","No Causal Association Between Coffee Consumption and Risk of Migraine: A Mendelian Randomization Study.","Frontiers in genetics","2022"
"35242249","Genetic overlap between temporomandibular disorders and primary headaches: A systematic review.","The Japanese dental science review","2022"
"39833696","Machine learning-driven identification of critical gene programs and key transcription factors in migraine.","The journal of headache and pain","2025"
"41288865","Potential Drug Targets for Migraine Identified Through Mendelian Randomization Analysis of the Human Plasma Proteome.","Molecular neurobiology","2025"
"40726763","Causal Relationship Between Migraine and Postpartum Depression: A Two-Sample Bidirectional Mendelian Randomization Study.","Journal of pain research","2025"
"38346716","Causal association between systemic lupus erythematosus and the risk of migraine: A Mendelian randomization study.","Brain and behavior","2024"
"41233745","A single-cell multi-omics framework identifies immune cell drivers of migraine and repurposable therapeutics.","The journal of headache and pain","2025"
"37558735","Noncausal effects between tea intake and migraine risk: a Mendelian randomization study.","Scientific reports","2023"
"36705326","Migraine, inflammatory bowel disease and celiac disease: A Mendelian randomization study.","Headache","2023"
"26862113","Blood gene expression studies in migraine: Potential and caveats.","Cephalalgia : an international journal of headache","2016"
"40197205","Prediction of new-onset migraine using clinical-genotypic data from the HUNT Study: a machine learning analysis.","The journal of headache and pain","2025"
"41345547","Mapping the brain cell-specific regulatory architecture of migraine: a single-cell causal framework nominating inhibitory-neuronal BTBD16 and astrocytic RIMS1 as therapeutic targets.","The journal of headache and pain","2025"
"38970023","Genetic evidence for causal association between migraine and dementia: a mendelian randomization study.","BMC medical genomics","2024"
"32423498","Migraine, Human Genetics and a Passion for Science.","Twin research and human genetics : the official journal of the International Society for Twin Studies","2020"
"39396101","Association between brain resting-state functional activities and migraine: a bidirectional mendelian randomization study.","Scientific reports","2024"
"31104508","Comparing migraine with and without aura to healthy controls using RNA sequencing.","Cephalalgia : an international journal of headache","2019"
"36793015","Causal relationships between migraine and microstructural white matter: a Mendelian randomization study.","The journal of headache and pain","2023"
"39979475","Genetic architectures of childhood maltreatment and causal influence of childhood maltreatment on health outcomes in adulthood.","Molecular psychiatry","2025"
"38766033","Chronic Overlapping Pain Conditions and Nociplastic Pain.","medRxiv : the preprint server for health sciences","2024"
"41382250","Genetically predicted the causal relationship between gut-brain axis and chronic pain: a Mendelian randomization study.","Human genomics","2025"
"38679912","Investigating the causal association between systemic lupus erythematosus and migraine using Mendelian randomization analysis.","Headache","2024"
"34510652","Exploring the causal inference of migraine on stroke: A Mendelian randomization study.","European journal of neurology","2022"
"38363449","Influences of Genetic and Environmental Factors on Chronic Migraine: A Narrative Review.","Current pain and headache reports","2024"
"39087012","Causality between multiple autoimmune disorders and migraine and its subtypes: a two-sample Mendelian randomization study.","Frontiers in neurology","2024"
"40641356","Dissecting Causal Relationships Between Gut Microbiota, Immunocyte Phenotype, and Migraine: A Mendelian Randomization Study.","Brain and behavior","2025"
"41495640","Elucidating the susceptibility genes between insomnia and migraine by integrating genetic data and transcriptomes.","The journal of headache and pain","2026"
"37460956","A causal effects of gut microbiota in the development of migraine.","The journal of headache and pain","2023"
"41581199","Relationship Between Migraine and Alzheimer's Disease: A Study of Mendelian Randomization.","Brain and behavior","2026"
"40419944","Fibroblast reprogramming in the dura mater of NTG-induced migraine-related chronic hypersensitivity model drives monocyte infiltration via Angptl1-dependent stromal signaling.","The journal of headache and pain","2025"
"41147997","Migraine in monogenic disorders: Shedding light on new therapeutic targets.","Cephalalgia : an international journal of headache","2025"
"41324723","Genetic insights into the causal role of metabolic, immune, and microbial factors in migraine.","Neurogenetics","2025"
"35546551","Genetic analyses identify pleiotropy and causality for blood proteins and highlight Wnt/β-catenin signalling in migraine.","Nature communications","2022"
"28627999","Heritability and genome-wide associations studies of cerebral blood flow in the general population.","Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism","2018"
"38183343","Mendelian randomization study of lipid metabolism characteristics and migraine risk.","European journal of pain (London, England)","2024"
"35166138","NCOR2 is a novel candidate gene for migraine-epilepsy phenotype.","Cephalalgia : an international journal of headache","2022"
"40657548","A Bidirectional Mendelian Randomization Study of Causal Relationships Between Migraine and White-Matter Structural Connectivity.","Journal of pain research","2025"
"41029193","Dissecting immune cell-specific genetics in migraine: a multi-omics framework for target discovery and therapeutic prioritization.","The journal of headache and pain","2025"
"34273149","Dissecting the shared genetic basis of migraine and mental disorders using novel statistical tools.","Brain : a journal of neurology","2022"
"34238214","Phenome-wide analysis highlights putative causal relationships between self-reported migraine and other complex traits.","The journal of headache and pain","2021"
"36773010","Cluster headache polygenetic risk and known functional variants of CYP3A4 are not associated with treatment response.","European journal of neurology","2023"
"33859262","Changes in the gene expression profile during spontaneous migraine attacks.","Scientific reports","2021"
"38379708","Assessing the association between age at first sexual intercourse and migraine: a Mendelian randomization study.","Frontiers in neurology","2024"
"37415806","Transcriptome-wide association study identifies novel candidate susceptibility genes for migraine.","HGG advances","2023"
"35698589","Identification of Novel Genetic Variants Associated with Insomnia and Migraine Comorbidity.","Nature and science of sleep","2022"
"26105260","OS046. Genome-wide association scans identify novel maternalsusceptibility loci for preeclampsia.","Pregnancy hypertension","2012"
"31214186","Differential Proinflammatory Signature in Vestibular Migraine and Meniere Disease.","Frontiers in immunology","2019"
"39511824","Genetically proxied liability to migraine and risk of intracranial aneurysm and subarachnoid hemorrhage.","Headache","2025"
"29995844","Molecular genetic overlap between migraine and major depressive disorder.","European journal of human genetics : EJHG","2018"
"36631270","Cross-Trait Mendelian Randomization Study to Investigate Whether Migraine Is a Risk Factor for Multiple Sclerosis.","Neurology","2023"
"31872049","Migraine polygenic risk score associates with efficacy of migraine-specific drugs.","Neurology. Genetics","2019"
"39158717","Genetic overlap and Mendelian randomization analysis highlighted the causal relationship between psoriatic disease and migraine.","Archives of dermatological research","2024"
"41526330","Fine-mapping a genome-wide meta-analysis of 98,374 migraine cases identifies 181 sets of candidate causal variants.","Nature communications","2026"
"26660531","Gene-based pleiotropy across migraine with aura and migraine without aura patient groups.","Cephalalgia : an international journal of headache","2016"
"39547276","Associations between post-traumatic stress disorder and neurological disorders: A genetic correlation and Mendelian randomization study.","Journal of affective disorders","2025"
"23368808","Next-generation sequencing in understanding complex neurological disease.","Expert review of neurotherapeutics","2013"
"40121175","Relationship Between Chronic Pain and Breast Cancer: Insight From Genetic Correlation Analyses and 2-Sample Mendelian Randomization.","Clinical breast cancer","2025"
"37021827","Effect of case and control definitions on genome-wide association study (GWAS) findings.","Genetic epidemiology","2023"
"39814546","Migraine and its major subtypes - with and without aura are associated with polygenic scores for autism.","Cephalalgia : an international journal of headache","2025"
"36939796","A Meta-Analysis of the Genome-Wide Association Studies on Two Genetically Correlated Phenotypes Suggests Four New Risk Loci for Headaches.","Phenomics (Cham, Switzerland)","2023"
"34148407","Dysregulation of the peripheral glutamatergic system: A key player in migraine pathogenesis?","Cephalalgia : an international journal of headache","2021"
"31842742","TRPM8 genetic variant is associated with chronic migraine and allodynia.","The journal of headache and pain","2019"
"40350627","[Genetic Disorders Associated with Migraine and Cerebrovascular Diseases].","Brain and nerve = Shinkei kenkyu no shinpo","2025"
"32306029","Cross-trait analyses with migraine reveal widespread pleiotropy and suggest a vascular component to migraine headache.","International journal of epidemiology","2020"
"37938611","Exploring the causal relationship between inflammatory cytokines and migraine: a bidirectional, two-sample Mendelian randomization study.","Scientific reports","2023"
"22955452","Future possibilities in migraine genetics.","The journal of headache and pain","2012"
"34176420","Irritable bowel syndrome and migraine: evidence from Mendelian randomization analysis in the UK Biobank.","Expert review of gastroenterology & hepatology","2021"
"37122299","The relationship between major depression and migraine: A bidirectional two-sample Mendelian randomization study.","Frontiers in neurology","2023"
"38135854","Current Update on Categorization of Migraine Subtypes on the Basis of Genetic Variation: a Systematic Review.","Molecular neurobiology","2024"
"39355906","LRP1 Repression by SNAIL Results in ECM Remodeling in Genetic Risk for Vascular Diseases.","Circulation research","2024"
"37184737","Genetic Predisposition to Periodontitis and Risk of Migraine: A Two-Sample Mendelian Randomization Study.","Neurology and therapy","2023"
"32968778","Functional gene networks reveal distinct mechanisms segregating in migraine families.","Brain : a journal of neurology","2020"
"34969212","Genetic aspects of pain and its variability in the human population.","Annals of agricultural and environmental medicine : AAEM","2021"
"26646788","Involvement of astrocyte and oligodendrocyte gene sets in migraine.","Cephalalgia : an international journal of headache","2016"
"41465107","Gene Regulation in Comorbid Migraine and Myogenic Temporomandibular Disorder Pain.","Genes","2025"
"40207525","Blood Pressure, Cardiometabolic Traits, and Cardiovascular Events in Women With Uterine Fibroids: A Genetic Correlation and Mendelian Randomization Study.","Journal of the American Heart Association","2025"
"20528957","A genome-wide association study of bipolar disorder and comorbid migraine.","Genes, brain, and behavior","2010"
"41420111","A multi-ancestry meta genome-wide association study of migraine among veterans: associations with traumatic brain injury, depression, and post-traumatic stress disorder.","Molecular psychiatry","2025"
"37730543","Effect of genetic liability to migraine and its subtypes on breast cancer: a mendelian randomization study.","BMC cancer","2023"
"23278104","Human studies in the pathophysiology of migraine: genetics and functional neuroimaging.","Headache","2013"
"30904033","Association between PRDM16, MEF2D, TRPM8, LRP1 gene polymorphisms and migraine susceptibility in the She ethnic population in China.","Clinical and investigative medicine. Medecine clinique et experimentale","2019"
"18647184","Association between polymorphisms in the beta2-adrenoceptor gene and migraine in women.","Headache","2009"
"33767277","Genome-wide transcriptome study in skin biopsies reveals an association of E2F4 with cadasil and cognitive impairment.","Scientific reports","2021"
"35903646","A Pilot Mitochondrial Genome-Wide Association on Migraine Among Saudi Arabians.","International journal of general medicine","2022"
"21519858","Identification of molecular genetic factors that influence migraine.","Molecular genetics and genomics : MGG","2011"
"25916332","Case-control study of ADARB1 and ADARB2 gene variants in migraine.","The journal of headache and pain","2015"
"37272612","Quantitative trait and transcriptome analysis of genetic complexity underpinning cardiac interatrial septation in mice using an advanced intercross line.","eLife","2023"
"32266439","[Adult attention deficit hyperactivity disorder and comorbidity: new findings on epidemiological and genetic factors].","Der Nervenarzt","2020"
"38837486","Causal effects of sedentary behaviours on the risk of migraine: A univariable and multivariable Mendelian randomization study.","European journal of pain (London, England)","2024"
"34151726","A 16S rRNA gene sequencing based study of oral microbiota in migraine patients in China.","Bioengineered","2021"
"41088633","Bidirectional causality between liver dysfunction and migraine: A mediating Mendelian randomization study.","Medicine","2025"
"28447608","Common variants in ZMIZ1 and near NGF confer risk for primary dysmenorrhoea.","Nature communications","2017"
"38149430","Exploring the role of gut microbiota in migraine risk: a two-sample Mendelian randomization study.","Scandinavian journal of gastroenterology","2024"
"38690367","To analyze the relationship between gut microbiota, metabolites and migraine: a two-sample Mendelian randomization study.","Frontiers in microbiology","2024"
"30382894","Implications for the migraine SNP rs1835740 in a Swedish cluster headache population.","The journal of headache and pain","2018"
"24674449","A replication study of GWAS findings in migraine identifies association in a Swedish case-control sample.","BMC medical genetics","2014"
"32249589","Effect of genetic liability to migraine on cognition and brain volume: A Mendelian randomization study.","Cephalalgia : an international journal of headache","2020"
"41261954","Exploring Contraindicated Medications and Corresponding Targeted Genes for Migraine Through Integrated Genetic Approaches.","Brain and behavior","2025"
"24081561","Genetic risk score analysis indicates migraine with and without comorbid depression are genetically different disorders.","Human genetics","2014"
"35353773","Transient receptor potential melastatin 8 is required for nitroglycerin- and calcitonin gene-related peptide-induced migraine-like pain behaviors in mice.","Pain","2022"
"23919895","Migraine genetics: Part II.","Headache","2013"
"37823721","A new gene for autosomal dominant facial palsy/migraine identified in a family by whole exome sequencing.","European journal of neurology","2024"
"32056457","Mitochondrial genome-wide association study of migraine - the HUNT Study.","Cephalalgia : an international journal of headache","2020"
"31660761","Migraine-associated gene expression in cell types of the central and peripheral nervous system.","Cephalalgia : an international journal of headache","2020"
"23077017","PRRT2 links infantile convulsions and paroxysmal dyskinesia with migraine.","Neurology","2012"
"15546262","Genomic abnormalities in patients with migraine and chronic migraine: preliminary blood gene expression suggests platelet abnormalities.","Headache","2004"
"31661179","Effect of genetic liability to migraine on coronary artery disease and atrial fibrillation: a Mendelian randomization study.","European journal of neurology","2020"
"33178826","Differential Expression and Bioinformatic Analysis of the circRNA Expression in Migraine Patients.","BioMed research international","2020"
"16019080","Mitochondrial inheritance in depression, dysmotility and migraine?","Journal of affective disorders","2005"
"25263582","Behavioral effects and mechanisms of migraine pathogenesis following estradiol exposure in a multibehavioral model of migraine in rat.","Experimental neurology","2015"
"21448238","Meta-analysis of genome-wide association for migraine in six population-based European cohorts.","European journal of human genetics : EJHG","2011"
"26899160","Gene co-expression analysis identifies brain regions and cell types involved in migraine pathophysiology: a GWAS-based study using the Allen Human Brain Atlas.","Human genetics","2016"
"39264754","Causal relationship between primary headache mediated by circulating cytokines and cerebral cortex structure: a mediation Mendelian randomization study.","Cerebral cortex (New York, N.Y. : 1991)","2024"
"34588893","PRDM16, LRP1 and TRPM8 genetic polymorphisms are risk factor for Pakistani migraine patients.","Saudi journal of biological sciences","2021"
"37662610","Identifying Suitable Targets for Alzheimer's Disease and Other Eight Common Neurological Disorders Using the Human Plasma Proteome: A Mendelian Randomization Study.","Journal of Alzheimer's disease reports","2023"
"17460155","Familial occipitotemporal lobe epilepsy and migraine with visual aura: linkage to chromosome 9q.","Neurology","2007"
"22908361","A replication study of a GWAS finding in migraine does not identify association in a Spanish case-control sample.","Cephalalgia : an international journal of headache","2012"
"37694124","Unraveling the link: exploring the causal relationship between diabetes, multiple sclerosis, migraine, and Alzheimer's disease through Mendelian randomization.","Frontiers in neuroscience","2023"
"19178574","Polymorphisms in the renin-angiotensin system and migraine in women.","Headache","2009"
"29498289","Localization of migraine susceptibility genes in human brain by single-cell RNA sequencing.","Cephalalgia : an international journal of headache","2018"
"38951977","Genetic Risk Loci and Familial Associations in Migraine: A Genome-Wide Association Study in the Han Chinese Population of Taiwan.","Journal of clinical neurology (Seoul, Korea)","2024"
"19167727","Report of two Chinese families and a review of Mainland Chinese CADASIL patients.","Journal of the neurological sciences","2009"
"29731251","Common Variant Burden Contributes to the Familial Aggregation of Migraine in 1,589 Families.","Neuron","2018"
"41421282","Integrated analysis of blood-absorbed components, metabolomics, and transcriptomics reveals Tianshu Capsule's effective components and mechanisms.","Phytomedicine : international journal of phytotherapy and phytopharmacology","2026"
"25765185","Sequence and analysis of a whole genome from Kuwaiti population subgroup of Persian ancestry.","BMC genomics","2015"
"26660850","The migraine-stroke connection: A genetic perspective.","Cephalalgia : an international journal of headache","2016"
"40728933","Whole-genome Sequence Analysis Revealed Novel Subjective Cognitive Decline-associated Genes in 10,763 Chinese.","Genomics, proteomics & bioinformatics","2025"
"39414896","Cannabis use disorder increases risk of large-artery atherosclerotic stroke and migraine with aura through mendelian randomization study.","Scientific reports","2024"
"14668201","Association analysis of 5-HTTLPR variants, 5-HT2a receptor gene 102T/C polymorphism and migraine.","Journal of neurogenetics","2003"
